"state","total_orders","revenue","pct_share"
"SP",46766,5841936.16,37.48
"RJ",14339,2099427.80,13.47
"MG",12935,1832235.38,11.76
"RS",6131,873879.90,5.61
"PR",5651,790354.90,5.07
"BA",3726,602149.13,3.86
"SC",4113,601842.26,3.86
"GO",2271,337311.66,2.16
"ES",2232,322420.30,2.07
"DF",2187,321479.61,2.06
"PE",1778,316827.08,2.03
"CE",1454,270417.20,1.73
"PA",1057,205933.76,1.32
"MT",1040,184680.14,1.18
"MA",809,148221.69,0.95
"PB",590,136415.21,0.88
"MS",810,135180.66,0.87
"PI",532,106690.15,0.68
"RN",521,100841.43,0.65
"AL",439,95357.34,0.61
"SE",382,72668.25,0.47
"TO",309,60524.40,0.39
"RO",270,56480.61,0.36
"AM",163,27197.07,0.17
"AC",90,19542.36,0.13
"AP",82,16262.80,0.10
"RR",50,9762.80,0.06
